row_id,column,issue,action
,Symptom,mixed-case column name,renamed → symptom
,Test,mixed-case column name,renamed → test
,Drug,mixed-case column name,renamed → drug
,Procedure,mixed-case column name,renamed → procedure
,Intent,mixed-case column name,renamed → intent
,Sarcasm,mixed-case column name,renamed → sarcasm
,Emotion,mixed-case column name,renamed → emotion
,Organ,mixed-case column name,renamed → organ
6256.0,season,"non-numeric value: '7;9;Chase;bayılma;;;;açıklama;yok;1;alaycı;;suçiçeği;;""Savaş ya da kaç\' olduğunu sanıyordum; \'savaş,"" kaç ya da bayıl\' olduğunu bilmiyordum.""""'",coerced to NaN
6265.0,season,"non-numeric value: '7;9;Masters;aritmi;;;;açıklama;değerlendirme;0;emin;kalp;suçiçeği;;""Aritmi haklı olduğumu kanıtlıyor; sorun beyninde değil kalbinde."";[{\'text\': \'aritmi\', \'type\': \'Symptom\'}, {\'text\': \'kalp\', \'type\': \'Anatomy\'}]'",coerced to NaN
6287.0,season,"non-numeric value: '7;9;Foreman;tümör;;;;hipotez;değerlendirme;0;nötr;beyin;suçiçeği;;""Kulakta bir tümör; solunum merkezlerine baskı yapıyorsa akciğeri açıklar."";[{\'text\': \'tümör\', \'type\': \'Disease\'}]'",coerced to NaN
6297.0,season,"non-numeric value: '7;9;House;suçiçeği;;gama globülin;;açıklama;kesin_tanı;0;nötr;deri;suçiçeği;;""Jack suçiçeği geçiriyor; yetişkinler için çok kötü bir durum."";[{\'text\': \'suçiçeği\', \'type\': \'Disease\'}]'",coerced to NaN
6327.0,season,"non-numeric value: '7;10;Taub;mastositoz;;;;hipotez;yok;0;nötr;;klor zehirlenmesi;;""Taşikardi humoral bir etki olabilir; mastositoz."";[{\'text\': \'mastositoz\', \'type\': \'Disease\'}]'",coerced to NaN
6355.0,season,"non-numeric value: '7;11;House;iskemi;treadmill testi;;;açıklama;test;0;nötr;kalp;kobalt zehirlenmesi;;""Koşu bandı testi iyi geçti; göğüs rahatsızlığı veya iskemi yok."";[{\'text\': \'iskemi\', \'type\': \'Symptom\'}, {\'text\': \'treadmill testi\', \'type\': \'Test\'}]'",coerced to NaN
6374.0,season,"non-numeric value: '7;11;Masters;doz aşımı;toksikoloji taraması;fenobarbital;;açıklama;test;0;nötr;;kobalt zehirlenmesi;;""Sabit ve dilate pupiller; yanında boş bir fenobarbital şişesiyle bulunmuş."";[{\'text\': \'fenobarbital\', \'type\': \'Drug\'}]'",coerced to NaN
6256.0,episode,"non-numeric value: '[{\'text\': \'bayılma\'"", \'type\': \'Symptom\'}]'",coerced to NaN
2990.0,sarcasm,non-binary value: 'emin',coerced to 0
3817.0,sarcasm,non-binary value: 'tüm vücut',coerced to 0
4075.0,sarcasm,non-binary value: 'hayır',coerced to 0
4076.0,sarcasm,non-binary value: 'hayır',coerced to 0
4077.0,sarcasm,non-binary value: 'hayır',coerced to 0
4078.0,sarcasm,non-binary value: 'hayır',coerced to 0
4079.0,sarcasm,non-binary value: 'hayır',coerced to 0
4080.0,sarcasm,non-binary value: 'hayır',coerced to 0
4081.0,sarcasm,non-binary value: 'hayır',coerced to 0
4082.0,sarcasm,non-binary value: 'alaycı',coerced to 0
4083.0,sarcasm,non-binary value: 'alaycı',coerced to 0
4084.0,sarcasm,non-binary value: 'hayır',coerced to 0
4085.0,sarcasm,non-binary value: 'alaycı',coerced to 0
4086.0,sarcasm,non-binary value: 'hayır',coerced to 0
4087.0,sarcasm,non-binary value: 'hayır',coerced to 0
4088.0,sarcasm,non-binary value: 'hayır',coerced to 0
4089.0,sarcasm,non-binary value: 'hayır',coerced to 0
