season,episode,speaker,symptom,test,drug,procedure,intent,diagnosis_stage,sarcasm,emotion,organ,correct_prediction,model_prediction,text,medical_entities,symptom_list,test_list,drug_list,procedure_list,organ_list,near_dup_cluster,source_intent,source_emotion,source_diagnosis_stage,prev_text_1,prev_text_2,feature_text,is_augmented
1,1,Wilson,nöbet,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.,"[{""text"": ""nöbet"", ""type"": ""Symptom""}]",nöbet,,,,beyin,,açıklama,nötr,hipotez,,,[SPEAKER=Wilson] [SYMPTOM=nöbet] [ORGAN=beyin] [TEXT=29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.],False
1,1,Wilson,zihinsel durum bozukluğu,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Mental durumu giderek kötüleşiyor.,"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}]",zihinsel durum bozukluğu,,,,beyin,,açıklama,nötr,hipotez,"Konuşma yetisini kaybetmiş,"" bebek gibi anlamsız sesler çıkarıyor.",29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.,"[SPEAKER=Wilson] [SYMPTOM=zihinsel durum bozukluğu] [ORGAN=beyin] [PREV=29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş. || Konuşma yetisini kaybetmiş,"" bebek gibi anlamsız sesler çıkarıyor.] [TEXT=Mental durumu giderek kötüleşiyor.]",False
1,1,House,,,,,şaka,hipotez,1,alaycı,beyin,nörosistiserkozis,,Beyin tümörü dediler; ben olsam ben de o tanıyı sevmezdim. Ölecek demenin sıkıcı bir yolu.,"[{""text"": ""beyin tümörü"", ""type"": ""Disease""}]",,,,,beyin,,şaka,alaycı,hipotez,Mental durumu giderek kötüleşiyor.,"Konuşma yetisini kaybetmiş,"" bebek gibi anlamsız sesler çıkarıyor.","[SPEAKER=House] [ORGAN=beyin] [PREV=Konuşma yetisini kaybetmiş,"" bebek gibi anlamsız sesler çıkarıyor. || Mental durumu giderek kötüleşiyor.] [TEXT=Beyin tümörü dediler; ben olsam ben de o tanıyı sevmezdim. Ölecek demenin sıkıcı bir yolu.]",False
1,1,Foreman,lezyon,MR,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,MR görüntüsünde bir lezyon var.,"[{""text"": ""MR"", ""type"": ""Test""}, {""text"": ""lezyon"", ""type"": ""Symptom""}]",lezyon,MR,,,beyin,,açıklama,nötr,değerlendirme,Radyasyon tedavisine de yanıt vermiyor.,En sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı.,[SPEAKER=Foreman] [SYMPTOM=lezyon] [TEST=MR] [ORGAN=beyin] [PREV=En sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı. || Radyasyon tedavisine de yanıt vermiyor.] [TEXT=MR görüntüsünde bir lezyon var.],False
1,1,House,,,,,hipotez,hipotez,0,nötr,beyin,nörosistiserkozis,,Bence bu bir tümör değil.,"[{""text"": ""tümör"", ""type"": ""Disease""}]",,,,,beyin,,hipotez,nötr,hipotez,MR görüntüsünde bir lezyon var.,Radyasyon tedavisine de yanıt vermiyor.,[SPEAKER=House] [ORGAN=beyin] [PREV=Radyasyon tedavisine de yanıt vermiyor. || MR görüntüsünde bir lezyon var.] [TEXT=Bence bu bir tümör değil.],False
1,1,House,,BT,,,soru,hipotez,0,nötr,beyin,nörosistiserkozis,,BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?,"[{""text"": ""BT"", ""type"": ""Test""}, {""text"": ""tümör"", ""type"": ""Disease""}]",,BT,,,beyin,,soru,nötr,hipotez,Bence bu bir tümör değil.,MR görüntüsünde bir lezyon var.,[SPEAKER=House] [TEST=BT] [ORGAN=beyin] [PREV=MR görüntüsünde bir lezyon var. || Bence bu bir tümör değil.] [TEXT=BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?],False
1,1,Chase,,,,,hipotez,hipotez,0,nötr,beyin,nörosistiserkozis,,"Anevrizma,"" inme ya da başka bir iskemik sendrom olabilir.","[{""text"": ""anevrizma"", ""type"": ""Disease""}, {""text"": ""inme"", ""type"": ""Disease""}, {""text"": ""iskemik sendrom"", ""type"": ""Disease""}]",,,,,beyin,,hipotez,nötr,hipotez,BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?,Bence bu bir tümör değil.,"[SPEAKER=Chase] [ORGAN=beyin] [PREV=Bence bu bir tümör değil. || BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?] [TEXT=Anevrizma,"" inme ya da başka bir iskemik sendrom olabilir.]",False
1,1,House,,kontrastlı MR,,,hipotez,test,0,nötr,beyin,nörosistiserkozis,,Hemen kontrastlı bir beyin MR'ı isteyin.,"[{""text"": ""kontrastlı MR"", ""type"": ""Test""}]",,kontrastlı MR,,,beyin,,hipotez,nötr,test,"Anevrizma,"" inme ya da başka bir iskemik sendrom olabilir.",BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?,"[SPEAKER=House] [TEST=kontrastlı MR] [ORGAN=beyin] [PREV=BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler? || Anevrizma,"" inme ya da başka bir iskemik sendrom olabilir.] [TEXT=Hemen kontrastlı bir beyin MR'ı isteyin.]",False
1,1,Cameron,,,,,hipotez,hipotez,0,nötr,beyin,nörosistiserkozis,,Creutzfeldt-Jakob hastalığı olabilir.,"[{""text"": ""Creutzfeldt-Jakob hastalığı"", ""type"": ""Disease""}]",,,,,beyin,,hipotez,nötr,hipotez,Hemen kontrastlı bir beyin MR'ı isteyin.,"Anevrizma,"" inme ya da başka bir iskemik sendrom olabilir.","[SPEAKER=Cameron] [ORGAN=beyin] [PREV=Anevrizma,"" inme ya da başka bir iskemik sendrom olabilir. || Hemen kontrastlı bir beyin MR'ı isteyin.] [TEXT=Creutzfeldt-Jakob hastalığı olabilir.]",False
1,1,Foreman,,,,,soru,hipotez,0,nötr,beyin,nörosistiserkozis,,Wernicke ensefalopatisi olabilir mi?,"[{""text"": ""Wernicke ensefalopatisi"", ""type"": ""Disease""}]",,,,,beyin,,soru,nötr,hipotez,Creutzfeldt-Jakob hastalığı olabilir.,Hemen kontrastlı bir beyin MR'ı isteyin.,[SPEAKER=Foreman] [ORGAN=beyin] [PREV=Hemen kontrastlı bir beyin MR'ı isteyin. || Creutzfeldt-Jakob hastalığı olabilir.] [TEXT=Wernicke ensefalopatisi olabilir mi?],False
