row_id,season,episode,speaker,task,label,suggested_label,self_confidence,suggested_confidence,confidence_margin,text,feature_text,needs_review
2964,4,5,Foreman,emotion,öfke,umut,0.012965580898427176,0.7220780961113787,0.7091125152129516,Geniş spektrumlu antibiyotikler işe yaramıyor. Viral veya egzotik bir bakteri olmalı.,"[SPEAKER=Foreman] [SYMPTOM=viral enfeksiyon, "" egzotik bakteri] [DRUG=geniş spektrumlu antibiyotik] [PREV=Döküntünün kötüleşmesi soğuk aglütininlerin kötüleşmesi demektir. Bu da karaciğerindeki şeyin mantar olmadığı anlamına gelir. || Bunun iltihap bile olmadığını,"" soğuk aglütininlerin neden olduğu pıhtılaşmış kan olduğunu laboratuvar doğruladı.] [TEXT=Geniş spektrumlu antibiyotikler işe yaramıyor. Viral veya egzotik bir bakteri olmalı.]",True
5112,6,9,Dr. Wilson,emotion,öfke,diğer,0.017477366072932442,0.844121416318316,0.8266440502453836,Bana yeni bir vaka bulman gerekirken neden bir ameliyat yapıyorsun?,[SPEAKER=Dr. Wilson] [SYMPTOM=-] [TEST=-] [DRUG=-] [PROCEDURE=Ameliyat] [ORGAN=-] [PREV=Bana fazladan kemoterapi vermeseydin onlarla altı ay daha geçirebilirdim. || Tedavi için enfeksiyon kapmış bölgeyi antifungal ilaç saçmalarıyla...] [TEXT=Bana yeni bir vaka bulman gerekirken neden bir ameliyat yapıyorsun?],True
3296,4,12,Hasta,emotion,diğer,üzgün,0.017484099067273596,0.39004157348041557,0.37255747441314196,"Boğazım çok ağrıyor ve ateşim var,"" boğaz kültürü yapın.","[SPEAKER=Hasta] [SYMPTOM=Boğaz ağrısı ve ateş] [TEST=Boğaz kültürü] [DRUG=Ağrı kesici] [PROCEDURE=İstirahat] [ORGAN=boğaz] [PREV=Şeker hastalığın ve yaralar için kan şekeri testi gerekli. || Ani kalp ağrısı ve bayılma için acil EKG ve müdahale gerekli.] [TEXT=Boğazım çok ağrıyor ve ateşim var,"" boğaz kültürü yapın.]",True
2891,4,4,House,emotion,öfke,nötr,0.018251929613850575,0.37651548720767086,0.3582635575938203,Nörolojik semptomlar kötüleşiyor.,[SPEAKER=House] [SYMPTOM=nörolojik semptom] [ORGAN=sinir sistemi] [PREV=Örnek Creutzfeldt-Jakob için negatif çıktı. || Bazı ciddi semptomlarınız vardı. Nöbetler...] [TEXT=Nörolojik semptomlar kötüleşiyor.],True
1060,2,1,House,emotion,diğer,ciddi,0.020531102000571313,0.5717951298114343,0.551264027810863,"Bu adam hapishaneleri biliyor. Yatçılıkla ilgili bir sorumuz olduğunda sana geleceğiz. Tamam"", uyuşturucu konusu. Saçını, kanını, idrarını, her şeyini test edelim. [Chase ve Foreman ayağa kalkar,"" Cameron'ın yüzünde hala öfkeli bir ifade vardır. House eliyle """"""""sizden sonra"""""""" işareti yapar.]""""","[SPEAKER=House] [SYMPTOM=Taşikardi, akciğer ödemi] [TEST=Saç, Kan, İdrar testi] [PROCEDURE=Test] [ORGAN=kalp, "" akciğer] [PREV=Aynen. Şahsen ben bunların hepsinin yeni çağ saçmalığı olduğunu düşünüyorum, ama gözyaşlarıyla dolu, masum bakışlarından sanırım demek istediğimi anlattım. Şimdi git ve Cindy'ye (adı her neyse) ölmek üzere olduğunu söyle. [Chase ve Foreman'ın oturduğu Teşhis bölümüne girer.] Taşikardi, akciğer ödemi,"" muhtemel şüpheliler? || Tamamen saçmalık. Katil olmayı seçtiğiniz için toplumu suçlayamazsınız. Adam muhtemelen eroin bağımlısı,"" bu da taşikardiyi ve buna bağlı olarak oluşan akciğer ödemini açıklıyor.] [TEXT=Bu adam hapishaneleri biliyor. Yatçılıkla ilgili bir sorumuz olduğunda sana geleceğiz. Tamam"", uyuşturucu konusu. Saçını, kanını, idrarını, her şeyini test edelim. [Chase ve Foreman ayağa kalkar,"" Cameron'ın yüzünde hala öfkeli bir ifade vardır. House eliyle """"""""sizden sonra"""""""" işareti yapar.]""""]",True
3174,4,9,House,emotion,diğer,umut,0.022515760018512423,0.5386287323509503,0.5161129723324379,Zararlı uyaran beynini rahatsız edecek,"[SPEAKER=House] [SYMPTOM=Hasar, Nöbet] [TEST=-] [DRUG=-] [PROCEDURE=-] [ORGAN=beyin, "" sinir hücreleri] [PREV=Nörolojik bir semptom olmadan biyopsi yapmıyorsun; eğer haklıysam virüs beyninde. || Sürekli yutkunuyor, nörolojik olabilir,"" parsiyel bir nöbet olabilir.] [TEXT=Zararlı uyaran beynini rahatsız edecek]",True
3009,4,6,Kutner,emotion,diğer,umut,0.022863649816921097,0.32381440899553093,0.30095075917860986,Sedimantasyon hızı 95. ANA zayıf pozitif.,"[SPEAKER=Kutner] [TEST=sedimantasyon hızı, "" ANA testi] [ORGAN=kan] [PREV=Yağ dokusu biyopsisi amiloidoz için negatif çıktı! Ve Thirteen eleniyor. || Protein 65,"" glikoz 70. Bu MS. Onu interferona başlatın.] [TEXT=Sedimantasyon hızı 95. ANA zayıf pozitif.]",True
5192,6,10,Dr. Cameron,emotion,ciddi,öfke,0.023129324919182525,0.8175986279793769,0.7944693030601944,...yaktığı her kaloride onu daha da hasta etmesi.,"[SPEAKER=Dr. Cameron] [SYMPTOM=-] [TEST=-] [DRUG=-] [PROCEDURE=-] [ORGAN=-] [PREV=Ateşi de eklediğinde,"" enfeksiyona daha çok uyuyor. || Sırtını incittiğinde diski yerinden kaymış olmalı.] [TEXT=...yaktığı her kaloride onu daha da hasta etmesi.]",True
6861,7,22,House,emotion,diğer,nötr,0.023502487022804743,0.4112612118761798,0.3877587248533751,"BT taraması bacağımda birden fazla siyah nokta,"" yani tümör gösteriyor.","[SPEAKER=House] [SYMPTOM=tümör] [ORGAN=bacak] [PREV=Kas kütlesindeki artışa vücudun uyum sağladığını sanmıştık ama fareler ölmeye başladı. || Kalp hızım 110; bacağımdaki kütleleri görmek için BT taraması yapmam gerekiyor.] [TEXT=BT taraması bacağımda birden fazla siyah nokta,"" yani tümör gösteriyor.]",True
3107,4,8,House,emotion,öfke,ciddi,0.023544961702663375,0.49761240324332023,0.47406744154065683,"Kimse kan paneline bakma zahmetine girdi mi,"" immünoglobulin seviyeleri düşük.","[SPEAKER=House] [SYMPTOM=Düşük immünoglobulin] [TEST=Kan Paneli] [DRUG=-] [PROCEDURE=-] [ORGAN=kan] [PREV=Bir semptom olabilir"", yaklaşan ölüm hissi || Bozuk kan yaklaşan ölüm hissinin bilinen nedenlerinden biridir ve ayrıca DIC'i de açıklıyor.] [TEXT=Kimse kan paneline bakma zahmetine girdi mi,"" immünoglobulin seviyeleri düşük.]",True
