variant,task,macro_f1,weighted_f1,accuracy,train_rows,test_rows,labels
taxonomy_v2_text,intent,0.3050042836529615,0.5156610590716922,0.498960498960499,6283,962,10
taxonomy_v2_text,emotion,0.22965531564463262,0.39673742042349364,0.38565488565488565,6283,962,8
taxonomy_v2_text,diagnosis_stage,0.3594547482967981,0.3483469133026821,0.35446985446985446,6283,962,7
feature_text,intent,0.3368548092582861,0.5449083299054699,0.5457380457380457,6283,962,10
feature_text,emotion,0.2939614532847734,0.4956667939464257,0.5041580041580042,6283,962,8
feature_text,diagnosis_stage,0.3802345273002902,0.3616148496403806,0.37733887733887733,6283,962,7
feature_text_sampled,intent,0.3076718282477273,0.5184766413961104,0.5187110187110187,6713,962,10
feature_text_sampled,emotion,0.28241604543693155,0.47933242759315814,0.48336798336798337,6213,962,8
feature_text_sampled,diagnosis_stage,0.3819334542187892,0.36465956887928613,0.38253638253638256,6493,962,7
feature_text_sampled_augmented,intent,0.30567619234750376,0.5178576531582046,0.5176715176715176,7503,962,10
feature_text_sampled_augmented,emotion,0.28171093411292414,0.4747976076649546,0.4792099792099792,7098,962,8
feature_text_sampled_augmented,diagnosis_stage,0.38045007738543407,0.36459776494400237,0.3783783783783784,8305,962,7
feature_text_soft_vote,intent,0.31095647784774416,0.5281569483776624,0.524948024948025,7503,962,10
feature_text_soft_vote,emotion,0.2681462595242501,0.4599963113133284,0.46361746361746364,7098,962,8
feature_text_soft_vote,diagnosis_stage,0.3788604473773578,0.36913085827212855,0.38357588357588357,8305,962,7
